Strategy,Accuracy,F1,Precision,Recall,Acc_unambiguous_sql,F1_unambiguous_sql,N_unambiguous_sql,Acc_unambiguous_graph,F1_unambiguous_graph,N_unambiguous_graph,Acc_ambiguous,F1_ambiguous,N_ambiguous
Always SQL,0.7741935483870968,0.0,0.0,0.0,1.0,0.0,152,0.0,0.0,77,1.0,0.0,112
Always Graph,0.22580645161290322,0.3684210526315789,0.22580645161290322,1.0,0.0,0.0,152,1.0,1.0,77,0.0,0.0,112
Trivial Rule,0.9032258064516129,0.8235294117647058,0.7,1.0,0.9473684210526315,0.0,152,1.0,1.0,77,0.7767857142857143,0.0,112
Threshold Rule,0.8504398826979472,0.6277372262773723,0.7166666666666667,0.5584415584415584,0.9736842105263158,0.0,152,0.5584415584415584,0.7166666666666667,77,0.8839285714285714,0.0,112
Logistic Regression,1.0,1.0,1.0,1.0,1.0,0.0,152,1.0,1.0,77,1.0,0.0,112
Learned ML (DT),1.0,1.0,1.0,1.0,1.0,0.0,152,1.0,1.0,77,1.0,0.0,112
