feature,f1_without,f1_std,f1_ci_low,f1_ci_high,f1_drop,f1_drop_std,f1_drop_ci_low,f1_drop_ci_high,baseline_f1
max_hops,0.5704553723335266,0.040731482207775116,0.5105084925889969,0.6598214119672775,0.014190137386322021,0.02439655363559723,0.0,0.07201926708221436,0.5846455097198486
op_count_filter,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
hist_runtime_variance,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
hist_avg_runtime_ms,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
estimated_traversal_ops,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
op_count_join,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
num_tables_joined,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
has_traversal,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
ast_depth,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
op_count_map,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
op_count_aggregate,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
op_count_traversal,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
input_cardinality_log,0.5846455097198486,0.04325281083583832,0.5185681939125061,0.674404752254486,0.0,0.0,0.0,0.0,0.5846455097198486
output_cardinality_log,0.5846455097198486,0.04325281083583832,0.5185681939125061,0.674404752254486,0.0,0.0,0.0,0.0,0.5846455097198486
selectivity,0.5846455097198486,0.04325281083583832,0.5185681939125061,0.674404752254486,0.0,0.0,0.0,0.0,0.5846455097198486
max_degree,0.5846455097198486,0.04325281083583832,0.5185681939125061,0.674404752254486,0.0,0.0,0.0,0.0,0.5846455097198486
degree_skew,0.5846455097198486,0.04325281083583832,0.5185681939125061,0.674404752254486,0.0,0.0,0.0,0.0,0.5846455097198486
num_projected_columns,0.5846455097198486,0.04325281083583832,0.5185681939125061,0.674404752254486,0.0,0.0,0.0,0.0,0.5846455097198486
has_index,0.5846455097198486,0.04325281083583832,0.5185681939125061,0.674404752254486,0.0,0.0,0.0,0.0,0.5846455097198486
join_fanout,0.5846455097198486,0.04325281083583832,0.5185681939125061,0.674404752254486,0.0,0.0,0.0,0.0,0.5846455097198486
estimated_shuffle_bytes_log,0.5846455097198486,0.04325281083583832,0.5185681939125061,0.674404752254486,0.0,0.0,0.0,0.0,0.5846455097198486
avg_degree,0.5846455097198486,0.04325281083583832,0.5185681939125061,0.674404752254486,0.0,0.0,0.0,0.0,0.5846455097198486
