group,features_removed,n_features_removed,f1_without,f1_std,f1_ci_low,f1_ci_high,f1_drop,f1_drop_std,f1_drop_ci_low,f1_drop_ci_high,baseline_f1
graph_features,"has_traversal, max_hops, avg_degree, max_degree, degree_skew",5,0.5752601623535156,0.04705559462308884,0.5105084925889969,0.674404752254486,0.009385347366333008,0.019030924886465073,0.0,0.05497280955314638,0.5846455097198486
operation_counts,"op_count_filter, op_count_join, op_count_traversal, op_count_aggregate, op_count_map",5,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
cardinality,"input_cardinality_log, output_cardinality_log, selectivity",3,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
data_characteristics,"has_index, join_fanout, estimated_shuffle_bytes_log, estimated_traversal_ops",4,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
historical,"hist_avg_runtime_ms, hist_runtime_variance",2,0.5798507928848267,0.04666569456458092,0.5105084925889969,0.674404752254486,0.004794716835021973,0.01794029213488102,0.0,0.04674876034259799,0.5846455097198486
structure,"ast_depth, num_projected_columns, num_tables_joined",3,0.5846455097198486,0.04325281083583832,0.5185681939125061,0.674404752254486,0.0,0.0,0.0,0.0,0.5846455097198486
